,blueWins,blueFirstBlood,blueDragons,blueHeralds,blueTowersDestroyed,blueGoldDiff,blueExperienceDiff,redDragons,redHeralds,redTowersDestroyed,blueKDADiff,blueCSDiff,blueJGCSDiff,blueWardDiff,blueDestWardDiff
28,0,1,0,0,0,-2808,-1555,0,0,0,-5.791666666666667,-14,8,24,-14
29,0,1,0,0,0,-539,-852,0,1,0,-2.5,14,-19,6,-2
30,1,1,1,0,0,-898,-655,0,0,0,-3.0,57,3,0,-2
31,0,0,0,0,0,-1424,-2416,1,0,0,-7.8,2,4,10,-2
32,0,0,0,0,0,449,-260,0,0,0,1.1616161616161615,37,-9,-3,0
33,0,0,0,0,0,-5295,-3863,1,0,0,-6.363636363636363,-76,0,-4,-2
34,0,1,0,0,0,-1706,-1027,0,0,0,0.6190476190476193,-54,-16,-3,6
35,0,0,0,0,0,-1506,-412,1,0,0,-1.9166666666666667,-22,-1,-3,0
36,1,0,0,0,0,-1427,-1008,0,0,0,-2.75,-19,28,-3,0
37,0,0,0,0,0,-211,320,1,0,0,-0.7142857142857142,14,7,-23,-3
38,1,1,0,0,0,-1340,-228,1,1,0,-1.0857142857142856,-22,4,-2,2
39,1,1,1,0,0,1158,191,0,1,0,-1.0714285714285716,23,39,0,-1
40,1,1,0,0,0,5712,4581,0,0,0,8.205128205128204,31,12,1,2
41,1,0,1,1,0,2691,2585,0,0,0,4.0,-12,27,9,0
42,0,0,0,0,0,-5634,-3787,1,0,0,-3.119047619047619,-55,-6,-2,-3
43,0,1,1,0,0,941,-561,0,1,0,1.6944444444444444,15,-16,5,-2
44,1,0,0,1,0,4238,3475,1,0,0,7.615384615384615,55,-40,-1,5
45,0,0,0,0,0,24,235,1,1,0,-0.9722222222222221,9,10,-19,-1
46,0,0,0,0,0,-3700,-2130,1,0,0,-15.833333333333334,-25,-16,0,-2
47,0,0,1,0,0,-2698,-2458,0,1,0,-2.416666666666667,-40,-3,2,1
48,1,1,1,0,0,3108,2974,0,0,0,3.2,51,-4,-42,-1
49,0,1,1,0,0,-2545,-761,0,1,1,0.0,-37,-8,-2,0
50,0,0,0,0,0,-1059,-951,1,1,0,-3.0,-4,6,4,-2
51,1,0,0,0,0,-592,-223,1,1,0,-0.8095238095238093,-8,3,2,-2
52,1,1,1,0,0,1892,890,0,0,0,6.458333333333333,-39,3,35,-2
53,1,1,1,0,0,3294,1808,0,0,0,9.454545454545455,8,16,-20,-2
54,0,0,0,0,1,222,1327,1,0,0,-1.0476190476190477,19,-11,2,-2
55,0,0,0,0,0,-2782,-1742,1,0,0,-3.861111111111111,-6,-13,0,0
56,0,1,1,0,0,-1070,-893,0,0,0,0.0,-37,-22,-3,2
57,0,1,0,0,0,117,-113,1,0,0,0.1428571428571428,-10,-4,2,0
58,1,0,0,0,0,227,939,0,0,0,0.27272727272727293,-1,-4,-3,2
59,1,1,0,1,0,1820,806,1,0,0,7.4,13,-12,-1,-4
60,0,0,0,0,0,-2713,-1456,1,0,0,-4.9,2,-7,-2,-4
61,0,1,0,0,0,1291,20,1,0,0,2.6999999999999997,10,-33,-65,3
62,1,1,0,1,1,2231,223,1,0,0,-2.3333333333333335,57,-20,-3,2
63,0,1,0,1,0,519,1006,1,0,0,0.125,10,0,-3,2
64,0,0,0,0,0,-682,-89,1,0,0,-2.666666666666667,-24,0,-1,-3
65,0,0,0,0,0,-1979,-771,1,1,0,0.4285714285714286,-51,8,1,1
66,1,0,0,1,0,-143,708,1,0,0,-1.7000000000000002,24,11,-1,1
67,0,0,0,1,0,-1524,-827,0,0,0,-2.675,41,-11,5,-2
68,1,1,0,0,0,180,893,1,1,0,1.0,-26,-1,74,2
69,0,1,0,1,1,1479,-198,1,0,0,1.0,-13,-4,1,4
70,0,0,0,0,0,-465,-436,0,0,0,-1.375,19,5,-70,1
71,0,0,0,0,0,-3590,-1683,1,0,0,-2.0549450549450547,-30,-5,-2,3
72,0,1,0,0,0,2200,1607,1,0,0,1.111111111111111,-2,4,29,2
73,1,0,1,0,0,2594,2485,0,0,0,1.7142857142857142,32,20,28,-3
74,0,0,0,0,0,121,-123,1,0,0,0.6666666666666667,-18,0,1,-2
75,1,1,1,0,0,975,1131,0,0,0,1.05,16,3,-11,3
76,0,0,0,0,0,-1287,-6,0,0,0,-0.011111111111111072,-12,1,10,1
77,0,1,0,1,0,567,-1018,1,0,0,0.75,3,-4,2,-2
78,0,0,0,0,0,-1672,-2213,0,0,0,-1.0833333333333333,-36,-20,0,-1
79,1,1,0,0,0,218,-598,1,0,0,0.5,2,-7,-26,-3
80,0,1,1,0,0,1036,-663,0,0,0,3.5357142857142856,-50,-12,7,-3
81,0,0,0,0,0,-168,267,1,0,0,-0.6666666666666667,0,-7,11,0
82,1,1,1,0,0,4250,2686,0,0,0,20.0,26,6,1,4
83,0,0,0,0,0,-1664,-990,0,1,0,-11.6,-5,13,-30,0
84,0,1,0,1,1,2002,301,0,0,0,0.8285714285714285,19,-22,-16,4
85,1,1,1,0,0,1975,802,0,0,0,2.4642857142857144,12,8,-3,1
86,1,1,0,0,0,1474,1001,0,0,0,2.15,27,-8,1,2
87,0,0,0,1,1,2422,1048,1,0,0,-0.7777777777777777,38,-9,73,-2
88,1,1,1,0,1,5195,2289,0,0,0,7.8125,21,-16,2,1
89,1,1,0,0,0,5492,4505,0,1,0,20.77777777777778,68,11,10,3
90,0,1,1,0,0,611,290,0,0,0,6.428571428571429,-22,-9,-4,4
91,0,0,0,0,0,-1608,-572,1,1,0,-2.7142857142857144,-6,-3,-1,2
92,0,1,1,1,1,1843,518,0,0,0,-0.25,30,13,-3,0
93,1,1,1,0,0,4371,3099,0,0,0,11.863636363636363,-12,3,-1,2
94,1,0,1,1,0,-414,-47,0,0,1,1.3214285714285716,-13,-8,1,1
95,0,0,0,0,0,-4192,-3984,1,0,0,-9.636363636363637,-30,-1,-28,3
96,1,0,0,0,0,4879,3774,0,0,0,6.333333333333333,74,-3,-1,1
97,0,0,0,0,0,-1960,-1464,1,0,0,-1.9333333333333336,-49,8,4,-1
98,0,0,0,0,0,-943,140,1,0,0,-2.1333333333333337,-16,8,1,-4
99,0,0,1,0,0,-2459,-2110,0,0,0,-7.5,-11,-16,-43,-6
100,1,1,0,1,0,2301,2562,1,0,0,1.1749999999999998,44,-12,2,5
101,0,0,0,0,0,-4552,-2289,1,0,0,-8.833333333333334,-23,7,-3,-2
102,0,0,0,0,0,-2204,-1476,0,1,0,-4.666666666666667,-24,-1,63,-1
103,0,0,0,0,0,-4063,-2598,0,0,0,-11.666666666666666,-45,18,-3,-2
104,0,1,0,0,0,-2377,-2338,1,0,0,-4.833333333333333,-48,4,-3,-2
105,1,0,1,0,0,1769,1175,0,0,0,3.0,40,-13,-2,2
106,1,1,0,0,0,1078,2430,1,0,0,-0.06666666666666665,43,-7,8,-2
107,0,1,0,0,0,974,-1050,1,0,0,1.7678571428571428,-29,8,-2,1
108,0,0,0,1,0,-2269,-1078,1,0,0,-7.25,-4,18,-19,-3
109,1,0,1,0,0,3432,2317,0,0,0,2.5555555555555554,51,-1,5,2
110,1,0,1,0,0,-896,-1292,0,0,0,0.0,-8,-20,67,-2
111,0,0,1,0,0,-1540,-313,0,0,0,-4.666666666666667,18,8,128,-1
112,0,0,0,1,0,-976,-964,1,0,0,-1.133333333333333,-11,2,-3,2
113,1,1,0,1,0,-905,-709,1,0,0,-1.611111111111111,4,-5,7,0
114,1,1,1,1,0,2406,2284,0,0,0,2.875,4,24,3,-2
115,0,1,1,0,0,-3638,-3337,0,0,0,-4.083333333333333,-5,-15,38,-1
116,1,0,1,0,0,-2696,-2455,0,0,0,-15.0,14,-3,37,-18
117,1,0,0,1,0,-70,-456,1,0,0,-1.5428571428571427,17,-8,0,2
118,1,1,1,1,0,411,-493,0,0,0,-1.1666666666666667,16,33,27,1
119,1,1,0,0,0,209,-6,0,1,0,1.8333333333333333,-13,4,19,-4
120,0,0,1,0,0,-3451,-2220,0,1,0,-2.0454545454545454,-27,-9,16,-1
121,1,1,0,0,0,118,-2044,1,0,0,-0.08333333333333326,8,-18,1,-1
122,0,0,0,1,1,3315,904,1,0,0,0.8686868686868685,48,10,2,1
123,0,1,0,0,0,684,-474,0,0,0,-0.25,21,2,4,2
124,0,1,1,1,1,3054,439,0,0,0,3.75,5,-20,-4,-2
125,0,1,0,1,0,-1317,-1427,1,0,0,-1.261904761904762,-3,-15,4,-1
126,0,0,0,0,0,-1033,-1797,0,0,0,-0.6666666666666665,-32,2,-20,1
127,0,1,0,0,0,-726,-1168,1,1,0,-0.9166666666666665,15,-12,-1,-4
128,0,0,0,0,0,-1243,-1229,1,0,0,-0.8857142857142859,-49,23,33,2
129,0,0,1,0,0,170,1174,0,0,0,-0.30000000000000004,26,8,6,-1
130,0,0,0,0,0,-1093,-449,1,0,0,-2.5,-21,22,-2,2
131,0,1,0,0,0,-930,185,1,0,0,-0.8333333333333335,-17,8,0,-4
132,1,1,0,1,0,4577,3717,1,0,0,9.6,61,11,21,0
133,1,1,0,0,0,3476,2025,1,0,0,2.21978021978022,22,-9,-16,-2
134,0,0,0,0,0,-1989,-1299,0,0,0,-2.0,-6,-5,-3,5
135,1,0,1,1,0,1340,1826,0,0,0,0.625,-3,20,71,0
136,0,0,0,0,0,-2564,-2920,0,0,0,-9.75,-24,-31,-55,-1
137,1,0,1,0,0,460,183,0,0,0,0.20000000000000018,46,-3,7,0
138,0,0,0,1,0,-2247,-1938,0,0,0,-0.5795454545454546,-31,-19,-2,2
139,0,1,0,0,1,-300,-1937,1,0,0,-3.0,-6,-16,0,3
140,1,1,1,0,0,2962,3043,0,0,0,4.75,23,12,-3,0
141,1,1,1,1,0,1509,-543,0,0,0,3.75,-18,-15,15,4
142,0,0,1,0,0,-2169,-1630,0,0,0,-3.3333333333333335,-26,42,-1,0
143,0,1,1,1,0,334,145,0,0,0,-1.9,2,1,1,1
144,1,0,0,0,1,482,617,1,0,0,-1.114285714285714,18,-10,12,3
145,0,1,0,0,0,2376,1325,0,0,0,2.0666666666666664,28,7,2,1
146,0,1,0,1,0,1140,-531,1,0,0,-0.3999999999999999,10,7,-1,-1
147,0,0,1,0,0,174,1511,0,0,0,-0.4999999999999998,9,5,-3,-2
148,1,0,0,1,0,-1237,-874,0,0,0,-2.1153846153846154,3,-21,3,2
149,1,0,0,0,0,-3052,-775,1,0,0,-3.9999999999999996,-12,0,5,-2
150,1,1,0,1,0,895,910,0,0,0,1.03030303030303,-29,6,2,0
151,0,0,1,0,0,864,898,0,0,0,1.8,-23,11,-3,0
152,1,1,1,0,1,5797,4456,0,0,0,20.90909090909091,-9,12,0,1
153,1,1,1,1,1,5475,3713,0,0,0,4.833333333333333,31,8,24,1
154,0,0,0,0,0,-4557,-3571,0,0,0,-8.277777777777779,-52,-15,17,4
155,1,0,1,0,0,-1093,-1958,0,0,0,-0.4166666666666665,-23,8,5,-5
156,1,0,0,1,0,6081,4748,1,0,0,8.051282051282051,38,16,2,1
157,1,1,0,0,0,-1973,-1497,0,0,0,-0.2916666666666665,-19,-20,-1,0
158,1,1,0,1,1,6790,4889,1,0,0,7.833333333333333,92,6,1,-2
159,1,0,0,0,0,-1878,-178,1,0,0,-9.75,-20,-4,-5,3
160,0,1,0,0,0,30,-249,1,0,0,0.375,22,-14,0,1
161,1,0,0,0,0,60,-341,1,0,0,0.5,-15,-15,-8,-1
162,0,0,0,1,0,-1809,-1431,1,0,0,-3.357142857142857,-23,12,-24,1
163,0,1,0,0,0,-411,-2213,1,0,0,1.0000000000000002,-5,-16,-1,-2
164,0,0,1,0,0,292,760,0,0,0,-1.1190476190476193,1,17,-5,6
165,1,0,0,0,0,-1402,-90,1,0,0,-6.9,4,-5,0,2
166,0,0,0,1,0,363,-533,1,0,0,-1.0,17,4,-61,-2
167,1,1,1,0,0,-2259,-898,0,0,0,-1.6285714285714283,-40,28,4,2
168,1,0,1,0,0,-689,-1431,0,0,0,-0.5,-15,-4,-6,1
169,0,0,0,0,0,-6386,-4210,0,1,1,-15.9,-60,-24,29,-1
170,1,1,1,1,0,3848,2704,0,0,0,6.733333333333333,35,7,5,0
171,0,0,1,0,0,-6435,-5116,0,0,0,-23.857142857142858,-47,-18,40,3
172,0,0,0,0,0,-2761,-2185,1,0,0,-4.133333333333333,-68,1,-6,-1
173,1,1,1,0,0,-981,-994,0,0,0,-1.4285714285714286,-14,-9,23,0
174,1,1,0,0,0,-517,-425,1,0,0,-2.333333333333333,-19,5,0,0
175,1,1,1,0,0,2673,2723,0,0,0,0.2777777777777777,61,-1,46,1
176,1,0,1,0,0,2745,1800,0,0,0,8.25,-15,4,1,-2
177,0,0,1,0,0,-2159,-1280,0,0,0,-1.342857142857143,-41,13,9,2
178,1,0,1,0,0,326,85,0,0,0,-0.16666666666666652,12,-4,-6,7
179,1,0,0,1,0,-1090,555,1,0,0,-2.8857142857142852,15,9,-1,0
180,0,0,0,1,1,1000,346,1,0,0,-1.3714285714285712,26,11,4,-2
181,1,1,1,0,0,2805,2599,0,0,0,13.0,-18,-7,4,0
182,1,1,1,1,1,2778,1130,0,0,0,2.2666666666666666,1,3,-4,-2
183,1,1,0,0,0,329,1704,1,0,0,-0.4666666666666668,11,4,7,0
184,1,1,0,0,0,1068,618,0,0,0,1.5,20,-8,1,3
185,1,1,1,0,0,4124,3900,0,0,0,8.2,24,12,3,0
186,1,0,0,0,0,1800,713,1,0,0,1.2916666666666665,46,-1,18,1
187,0,0,1,0,0,-1079,-2292,0,0,0,-1.4666666666666666,1,-16,6,1
188,0,1,1,0,0,2487,1963,0,0,0,7.625,1,6,-4,1
189,1,1,1,0,0,-680,-703,0,0,0,-0.95,-14,13,-1,1
190,1,1,1,1,0,3884,2315,0,0,0,22.0,2,0,13,-1
191,0,1,1,0,0,-907,-1159,0,0,0,-1.9166666666666667,-7,10,-3,-2
192,0,0,0,0,0,-1744,-1555,1,0,0,-5.0,-27,16,0,-4
193,1,0,0,0,0,-857,-1356,1,0,0,0.5000000000000002,-43,-7,-4,3
194,0,0,1,0,0,-1984,-715,0,0,0,-4.619047619047619,1,7,-1,1
195,0,0,0,0,0,-4024,-1999,1,0,0,-12.833333333333334,-35,12,5,0
196,0,1,0,0,0,2526,1379,1,0,0,2.4,38,-13,-3,2
197,0,1,0,0,0,708,302,0,0,0,0.5178571428571428,7,-6,2,1
198,0,0,0,0,0,-1292,-1426,1,1,1,3.711111111111111,-55,-1,22,2
199,0,1,1,0,0,287,568,0,0,0,2.0,-25,15,4,0
200,0,0,0,0,0,492,-1509,1,0,0,0.75,2,-18,6,-2
201,1,1,0,0,0,2992,258,0,0,0,3.375,34,-11,3,0
202,0,0,1,0,0,-2588,-497,0,0,1,-2.4761904761904763,0,11,67,2
203,0,0,1,0,0,-147,21,0,0,0,1.75,-59,15,4,0
204,1,0,0,0,0,-549,-805,1,1,0,-1.0833333333333333,18,-32,1,3
205,0,0,0,0,0,-3130,-2448,1,0,0,-3.0666666666666673,-42,6,4,2
206,1,0,0,0,0,616,1673,0,0,0,0.5,-8,8,24,2
207,0,1,1,0,0,-471,-1021,0,0,0,2.3333333333333335,-27,-4,6,-1
208,1,0,1,0,0,370,212,0,0,0,0.5333333333333334,8,0,2,-2
209,0,0,1,0,0,-2468,-2552,0,1,0,-0.4583333333333335,-23,-21,3,0
210,0,0,0,0,0,-1514,-893,1,0,0,-0.9142857142857144,-15,8,84,1
211,0,1,0,1,0,62,1154,1,0,0,-0.75,30,-15,-28,14
212,0,1,0,0,0,765,425,1,1,0,1.7575757575757573,-16,-18,57,-8
213,1,1,0,0,0,-923,-803,1,0,0,-1.1904761904761905,-10,-15,7,-4
214,0,0,0,0,0,-3586,-2271,1,0,0,-25.8,34,0,-24,0
215,1,0,1,1,0,2507,3196,0,0,0,4.1,-13,16,31,-1
216,1,0,1,0,0,1761,2297,0,1,0,-1.5,58,24,4,-4
217,0,0,0,0,0,-1034,-846,1,0,0,1.6666666666666665,-27,-16,0,1
218,1,0,0,0,0,-2891,-3196,0,0,0,-6.428571428571429,-44,-2,-3,3
219,1,0,0,0,0,-1148,-818,0,0,0,-5.0,8,3,1,1
220,1,0,0,1,1,302,-1958,1,0,0,-0.8333333333333335,-24,-18,-35,-2
221,1,0,0,0,0,-1573,-1171,1,0,0,-1.1,-6,-28,2,0
222,0,0,0,0,0,147,582,1,1,0,-0.19999999999999996,6,4,-32,-1
223,1,1,1,1,0,3414,1608,0,0,0,4.694444444444445,-10,33,-36,-2
224,0,1,0,0,0,-1492,-1219,0,0,0,-3.4888888888888885,-23,19,-8,-2
225,0,1,0,1,0,773,1285,1,0,0,-0.2142857142857142,49,8,-4,2
226,0,1,1,0,0,629,-887,0,0,0,2.0,-10,-9,-17,-3
227,1,0,0,0,0,238,275,0,0,0,1.2000000000000002,-8,2,-129,0
228,1,1,0,0,0,5802,5396,1,0,0,6.357142857142857,63,23,11,-2
229,0,0,0,0,0,-2787,-2662,1,1,0,-1.5064935064935063,-18,-11,3,-3
230,1,0,1,0,0,-718,-1666,0,0,0,0.0,-20,-5,0,1
231,0,0,1,1,0,-4898,-3736,0,0,0,-22.8,-42,11,-5,-2
232,1,0,0,0,0,1789,2100,0,0,0,2.0,44,-3,-3,-3
233,1,1,1,0,0,1824,1409,0,0,0,2.35,7,-1,28,3
234,0,0,0,1,0,-1570,-2103,1,0,0,-0.4285714285714284,-19,-28,-7,0
235,1,0,0,0,1,384,-465,1,1,1,4.0,-10,-26,-5,3
236,0,1,0,0,0,3044,1775,0,0,0,2.5,34,21,3,-2
237,1,1,0,0,0,2802,281,1,0,0,3.375,13,-12,-25,3
238,0,0,0,0,0,-2647,-1872,1,1,0,-5.5,-22,-30,41,2
239,1,0,0,0,0,160,999,0,0,0,0.2857142857142858,24,3,1,2
240,0,1,1,1,0,1844,1397,0,0,0,1.5,16,8,-5,-2
241,1,1,1,0,0,-659,-701,0,0,0,-1.3409090909090908,-20,0,-1,-1
242,0,1,0,1,0,-2406,-2686,1,0,0,-7.071428571428571,21,-24,4,3
243,1,1,1,0,1,5656,3415,0,0,0,7.266666666666667,-3,14,0,1
244,1,1,0,0,0,1396,89,1,0,0,0.5416666666666665,13,-17,-2,0
245,0,0,1,0,0,-2820,-2226,0,1,0,-4.833333333333333,-16,12,7,1
246,0,0,0,0,0,-80,470,1,0,0,1.25,29,-26,2,0
247,0,0,0,0,0,-3960,-2533,0,0,0,-5.666666666666667,-31,-3,23,0
248,0,1,0,0,0,-1005,-251,0,0,0,-1.6666666666666665,-23,-4,31,-1
249,0,1,0,0,0,519,-748,0,0,0,0.8999999999999999,-9,-15,-9,2
250,0,0,0,0,0,-3921,-3284,1,0,0,-4.138888888888889,-61,-10,-3,1
251,0,0,1,1,0,-4177,-1640,0,0,0,-7.454545454545455,-27,7,-1,1
252,1,1,1,0,1,2585,1759,0,0,0,0.8295454545454546,60,-22,151,2
253,0,0,0,0,0,-3532,-2062,0,0,0,-4.863636363636363,-1,-7,-2,0
254,1,0,1,1,0,1210,1410,0,0,0,0.0,44,15,-3,-4
255,1,0,1,0,0,596,486,0,0,0,0.9166666666666667,30,-25,0,4
256,1,0,1,0,0,257,1665,0,1,0,-0.5,-5,4,1,0
257,1,1,0,0,0,716,601,1,0,0,0.8412698412698412,8,-23,0,-1
258,0,1,0,0,0,-4197,-2772,1,0,0,-5.984615384615385,-38,19,-6,2
259,1,0,0,1,1,1086,1804,1,0,0,-5.0,30,11,-5,1
260,0,1,0,0,0,1256,301,0,0,0,0.75,-2,18,3,0
261,1,1,0,0,1,1323,1994,0,0,0,0.16666666666666652,-5,-2,3,-3
262,1,1,1,1,1,4096,3516,0,0,0,2.9890109890109895,44,7,3,0
263,0,0,0,0,0,-2820,-1048,1,0,0,-12.2,-34,0,-1,1
264,1,0,0,0,0,1163,-539,1,0,0,2.9166666666666665,-31,7,0,0
265,1,1,1,0,0,865,-933,0,0,0,4.0,-12,8,-22,-2
266,0,0,0,0,0,-157,-2594,1,1,0,1.1666666666666665,-16,-17,3,1
267,1,1,0,0,0,-1521,-2185,1,0,0,-4.5,-25,-9,22,-21
268,0,1,1,0,0,-973,-2691,0,0,0,-0.11111111111111116,-14,-19,-3,0
269,1,1,0,0,0,4009,1935,0,1,0,5.888888888888888,47,3,60,4
270,0,1,0,1,0,362,889,1,0,0,0.5,9,-3,-23,10
271,0,0,0,1,1,-551,-551,1,0,0,-2.333333333333333,-13,-10,-39,1
272,0,0,1,0,0,-3839,-3318,0,1,0,-14.875,-13,-7,103,2
273,1,1,1,0,0,1530,334,0,1,0,2.25,0,12,-7,2
274,0,0,0,0,0,-2834,-2773,1,0,0,-4.333333333333333,13,-16,-34,15
275,0,1,0,1,0,1765,701,0,0,0,2.25,33,3,-3,2
276,0,0,1,0,0,-3071,-2267,0,1,1,-6.6,-39,0,5,-1
277,1,1,0,1,0,1706,1239,1,0,0,3.888888888888889,-10,17,1,1
278,1,1,1,0,0,1916,1404,0,1,0,0.0,55,10,1,-1
279,0,0,0,0,0,-2327,-2471,0,0,0,-3.25,-5,-25,2,0
280,1,0,0,1,0,-251,557,1,0,0,-15.6,54,5,-3,3
281,0,1,0,0,0,-1012,-1528,1,0,0,-1.75,-41,-4,-1,-1
282,0,1,0,1,0,1522,1737,1,0,0,2.0,-3,7,0,-2
283,1,0,0,0,0,-1751,-1585,1,0,0,-4.5,5,-8,-5,1
284,1,0,0,0,0,-451,336,1,0,0,-0.1428571428571428,-6,0,-46,-2
285,1,1,1,1,0,1241,2416,0,0,0,2.5777777777777775,-30,0,64,2
286,1,1,0,0,0,-1761,-1446,0,0,0,-2.0666666666666664,-24,20,0,2
287,1,0,1,0,0,598,-456,0,1,0,2.6666666666666665,19,-8,1,-1
288,1,0,0,0,0,2301,3412,0,0,0,4.333333333333333,-16,19,10,0
289,0,1,0,0,0,-3312,-3119,0,1,0,-2.3,-36,-12,-2,3
290,0,0,0,0,0,-4446,-3703,1,0,0,-9.166666666666666,-45,4,-7,2
291,0,0,0,0,0,-787,-926,1,0,0,-0.5454545454545454,-3,-6,2,-3
292,0,0,0,0,0,-1360,-1561,1,0,0,-1.6,-45,-13,-6,0
293,1,0,0,0,0,-1313,-1424,0,0,0,-1.5714285714285714,-21,3,-20,2
294,1,0,0,0,0,-1171,-854,1,0,0,-4.25,-42,7,-33,-3
295,1,1,0,0,0,-1443,-1629,1,0,0,-2.083333333333333,-11,-42,-2,1
296,0,0,0,0,0,-1110,-721,0,0,0,-1.6749999999999998,-12,-9,0,0
297,1,0,1,0,0,2851,1313,0,0,0,2.107142857142857,42,2,8,-1
298,1,1,1,1,0,689,-913,0,0,0,2.166666666666667,-11,-1,-3,1
299,0,1,0,0,0,1117,472,1,1,0,1.0,18,2,-4,1
300,1,0,0,0,0,-1860,-720,1,0,0,-0.8035714285714284,-20,-7,2,-1
301,1,1,0,0,0,888,1005,0,0,0,1.514285714285714,-16,26,-6,0
302,0,1,0,0,0,-2023,-2678,1,0,0,-1.875,-25,-13,69,1
303,1,0,1,0,0,1149,1056,0,0,0,3.066666666666667,15,-8,4,-1
304,1,1,1,0,2,5058,1536,0,0,0,6.711538461538462,19,-12,39,2
305,1,1,0,0,0,1002,-743,1,1,0,0.5428571428571427,13,-15,-2,3
306,0,0,0,0,0,-2446,-1508,1,0,1,-1.1666666666666667,-18,-29,53,2
307,0,0,1,0,0,786,1155,0,0,0,1.7333333333333334,6,3,2,2
308,0,0,0,0,0,-3205,-3400,1,0,0,-10.0,-26,7,-17,-4
309,0,0,0,1,0,2046,584,1,0,0,1.7999999999999998,45,-5,-5,1
310,1,0,0,0,0,-3473,-1314,0,0,0,-2.0,-29,0,3,2
311,0,1,0,1,0,266,-282,1,0,0,-1.75,1,15,-66,4
312,1,1,0,1,0,5229,5136,1,0,0,4.7,51,22,29,-12
313,0,0,0,0,0,897,366,1,0,0,2.75,20,-15,9,-3
314,1,0,1,0,0,-2361,-1663,0,1,0,-8.625,-1,3,0,3
315,1,0,0,0,0,2559,2593,0,0,0,3.75,13,21,-14,16
316,1,1,1,0,0,1399,554,0,0,0,1.7333333333333334,-8,32,-19,-1
317,1,1,0,1,0,1430,107,1,0,0,0.3095238095238093,68,-3,-3,3
318,1,0,0,0,0,-3401,-2179,1,1,0,-6.25,-1,4,-2,2
319,0,0,0,0,0,-1681,41,0,0,0,-1.5555555555555556,-22,7,15,1
320,0,0,0,1,0,-1720,-2056,1,0,0,-2.5,-23,-5,3,-3
321,1,1,1,1,0,-73,333,0,0,0,-1.4285714285714286,0,11,-1,0
322,0,0,0,0,0,-5337,-2474,1,1,1,-4.583333333333333,-57,-20,-3,1
323,0,0,0,0,0,-1635,-1467,0,1,0,-4.0,22,-22,-1,0
324,0,0,1,0,0,-964,-2454,0,1,0,1.1666666666666665,-37,0,-1,0
325,1,1,1,1,0,3413,396,0,0,0,5.613636363636363,4,14,13,-1
326,0,1,1,1,0,1949,214,0,0,0,2.111111111111111,25,-21,3,1
327,1,1,1,0,0,38,1241,0,1,0,0.5952380952380951,-7,7,20,6
328,1,1,1,1,0,3153,3196,0,0,0,3.036363636363637,62,-11,1,-2
329,1,1,0,0,0,5422,3259,1,0,0,8.75,-5,1,4,1
